	title	lat	lng
171	Bridgeton	38.750343	-90.42482
172	Chicago	41.909942	-87.711777
173	Chicago	41.911646	-87.686964
174	Chicago	41.909244	-87.768652
175	Chicago	41.917152	-87.658419
176	Melrose Park	41.907606	-87.845812
177	Chicago	41.916756	-87.752632
178	Chicago	41.921659	-87.695262
179	Ladue	38.637202	-90.392602
180	Northlake	41.9073	-87.911441
181	Chicago	41.923603	-87.746197
182	Melrose Park	41.913009	-87.88361
183	Chicago	41.924241	-87.768158
184	Chicago	41.932603	-87.649458
185	Dayton	39.638964	-84.225517
186	Elmhurst	41.905667	-87.958729
187	Elmwood Park	41.923884	-87.806248
188	Chicago	41.931872	-87.713438
189	Chicago	41.936134	-87.66868
190	Chicago	41.931919	-87.743527
191	Chicago	41.929267	-87.787297
192	Chicago	41.931077	-87.775666
193	Chicago	41.938863	-87.722397
194	Chicago	41.936217	-87.766314
195	Batavia	41.849409	-88.340743
196	Chicago	41.938682	-87.748824
197	Saint Louis	38.520811	-90.361646
198	West Chicago	41.881239	-88.194772
199	Glendale Heights	41.900943	-88.082752
200	Chicago	41.946852	-87.673164
201	Franklin Park	41.929832	-87.878516
202	Chicago	41.946563	-87.710436
203	River Grove	41.93734	-87.833039
204	Chicago	41.945609	-87.776639
205	Elmhurst	41.928619	-87.939931
206	Chicago	41.954507	-87.688974
207	Chicago	41.953785	-87.705668
208	Chicago	41.953581	-87.752608
209	Chicago	41.961486	-87.666573
210	Addison	41.93121	-87.987199
211	Chicago	41.953845	-87.787066
212	Chicago	41.952494	-87.806269
213	Chicago	41.965019	-87.656758
214	Chicago	41.968722	-87.672958
215	Chicago	41.969103	-87.708152
216	Chicago	41.967994	-87.729644
217	Des Peres	38.602607	-90.443614
218	Chicago	41.975531	-87.659913
219	Chicago	41.969133	-87.761686
220	Chicago	41.975933	-87.692436
221	Chicago	41.973342	-87.748172
222	Glendale Heights	41.93676	-88.08077
223	Schiller Park	41.965604	-87.861652
224	West Chicago	41.91591	-88.208178
225	Arnold	38.446738	-90.371511
226	Chicago	41.976208	-87.787757
227	Addison	41.949853	-88.030315
228	Chicago	41.97916	-87.806791
229	Saint Charles	41.900034	-88.336681
230	Chicago	41.990066	-87.714159
231	Chicago	41.995781	-87.670425
232	Chicago	41.995672	-87.689975
233	Wood Dale	41.966115	-87.997833
234	Bloomingdale	41.948792	-88.115691
235	Park Ridge	41.986378	-87.835056
236	Chicago	41.997537	-87.708483
237	Saint Charles	41.921162	-88.280041
238	Bloomingdale	41.950963	-88.121173
239	Lincolnwood	41.997596	-87.727937
240	Chicago	41.995881	-87.786676
241	Lincolnwood	42.011938	-87.726669
242	Skokie	42.012104	-87.75757
243	Chicago	42.01834	-87.673008
244	Chicago	42.019304	-87.690389
245	Niles	42.018024	-87.806497
246	Elk Grove Village	42.003837	-88.0055
247	Evanston	42.040412	-87.700152
248	Bartlett	41.978474	-88.206826
249	Des Plaines	42.023072	-87.939404
250	Niles	42.040482	-87.802802
251	Bowling Green	36.979717	-86.451632
252	Hanover Park	42.006685	-88.14521
253	Skokie	42.055082	-87.739153
254	Des Plaines	42.035964	-87.941072
255	Des Plaines	42.047366	-87.88513
256	Schaumburg	42.027785	-88.059305
257	Evanston	42.065999	-87.700324
258	Mount Prospect	42.04782	-87.959859
259	Arlington Heights	42.047036	-87.98275
260	Schaumburg	42.04498	-88.033469
261	Glenview	42.080247	-87.798388
262	Rolling Meadows	42.059047	-88.009606
263	Schaumburg	42.048382	-88.091037
264	Mount Prospect	42.070779	-87.925811
265	Hoffman Estates	42.046023	-88.144185
266	O Fallon	38.80506	-90.699689
267	Glenview	42.086438	-87.870067
268	Campbellsville	37.363189	-85.377563
269	Elgin	42.029876	-88.278098
270	Elgin	42.035589	-88.259759
271	Mount Prospect	42.08817	-87.907243
272	Arlington Heights	42.079958	-87.98072
273	Rolling Meadows	42.079148	-88.021721
274	Elgin	42.026623	-88.338149
275	O Fallon	38.726522	-90.697066
276	Lexington	38.01444	-84.556121
277	Prospect Heights	42.108779	-87.890677
278	Elgin	42.058786	-88.266397
279	DeKalb	41.931305	-88.773627
280	Arlington Heights	42.106049	-87.970576
281	Northbrook	42.128747	-87.82723
282	Elgin	42.074767	-88.290232
283	Macomb	40.459179	-90.683248
284	Deerfield	42.152488	-87.839487
285	Palatine	42.139008	-88.023887
286	Saint Joseph	42.086041	-86.485309
287	Deerfield	42.165403	-87.844622
288	Lexington	37.992776	-84.495342
289	Buffalo Grove	42.154799	-87.984337
290	Highland Park	42.188635	-87.825642
291	Barrington	42.15399	-88.12838
292	Lexington	38.005163	-84.444322
293	Carpentersville	42.122597	-88.335852
294	Mount Orab	39.043053	-83.91956
295	Danville	37.645926	-84.775224
296	Lake Zurich	42.188608	-88.105252
297	Fox River Grove	42.191606	-88.205664
298	Huntley	42.152701	-88.433545
299	Algonquin	42.17464	-88.33355
300	Vernon Hills	42.237708	-87.944639
301	Lima	40.751795	-84.147391
302	Mundelein	42.253228	-88.01988
303	Mundelein	42.269369	-88.004136
304	Crystal Lake	42.22584	-88.292106
305	Wauconda	42.257458	-88.149557
306	Libertyville	42.306276	-87.964911
307	North Chicago	42.319347	-87.867402
308	Clarksville	36.587262	-87.412698
309	Rock Falls	41.76441	-89.689684
310	Island Lake	42.28167	-88.208977
311	Clarksville	36.577569	-87.300264
312	Waukegan	42.341978	-87.896853
313	Waukegan	42.349497	-87.872992
314	Grayslake	42.336474	-88.028394
315	Waukegan	42.370023	-87.851875
316	Third Lake	42.363957	-87.999472
317	Gurnee	42.378185	-87.93663
318	Woodstock	42.312285	-88.433884
319	Round Lake Beach	42.379518	-88.062162
320	Mchenry	42.347508	-88.285311
321	Zion	42.456806	-87.825033
322	Rockford	42.252833	-89.02786
323	Portage	42.20783	-85.588809
324	Rockford	42.297985	-88.999133
325	Quincy	39.934944	-91.373146
326	Gallatin	36.359095	-86.498564
327	Davenport	41.538429	-90.602286
328	Madison	36.295855	-86.700199
329	Hendersonville	36.307692	-86.606258
330	Racine	42.71965	-87.854199
331	Somerset	37.025104	-84.626083
332	Old Hickory	36.218796	-86.573786
333	Hermitage	36.189688	-86.615726
334	Martin	36.333042	-88.871535
335	Mount Juliet	36.201185	-86.518421
336	Dublin	40.10092	-83.15697
337	Nashville	36.169759	-86.678755
338	Dresden	36.277249	-88.713156
339	Nashville	36.138365	-86.879487
340	Mc Ewen	36.107557	-87.640158
341	Lebanon	36.211589	-86.315085
